Latitud	Longitud	Ciudad
49.24966	-123.11934	Vancouver
47.60621	-122.33207	Seattle
45.52345	-122.67621	Portland
38.58157	-121.49440	Sacramento
37.77493	-122.41942	San Francisco
34.05223	-118.21368	Los Ángeles
36.17497	-115.13722	Las Vegas
32.71533	-117.15726	San Diego
39.73915	-104.98470	Denver
32.78306	-96.80667	Dallas
29.42412	-98.49363	San Antonio
30.26715	-97.74306	Austin
29.95465	-90.07507	Nueva Orleands
41.85003	-87.65005	Chicago
36.16589	-86.78444	Nashville
39.76838	-86.15804	Indianapolis
42.35843	-71.05977	Boston
40.71427	-74.00597	Nueva York
38.89511	-77.03637	Washington DC
28.53834	-81.37924	Orlando
25.79065	-80.13005	Miami
